1000001	1292213	2146991	2268359	1866479	1308817	3158990	1294639	5344178	1292401	1291999	3649049	1295124	3319755	1291560	1308575	3072086	1862151	3792799	1292343	1307914	1293839	3233635	2149806	3205624	1482072	3068206	1291549	1292000	1292220	3734112	2213597	3313801	4873490	3005875	4305436	1485260	10574622	1849031	1292370	3075287	1978709	1291546	3793023	2129039	2209573	1292215	2131459	1652587	1292052	3742360
1000023	3731581	2334904	4268598	1292213	2146991	2268359	1308817	1293544	5344178	1292401	1291832	1295124	1292063	3319755	1292064	1308575	3395373	3072086	1862151	3626416	3792799	4023638	1292343	1307914	1293839	3233635	2149806	1482072	3068206	1291549	1292000	1292220	3734112	2213597	3313801	4873490	3005875	4305436	10574622	1849031	1292370	1978709	1292722	4920528	3793023	2129039	1292001	2131459	1929463	3742360
1000030	1294639	5344178	1292401	1291832	1291999	3649049	1295124	1292063	3319755	1292064	1308575	3395373	3072086	1862151	3626416	3792799	4023638	1292343	1307914	1293839	3233635	2149806	3205624	1482072	3068206	1292000	3734112	2213597	3313801	4873490	3005875	1292223	4305436	1485260	10574622	1849031	1292370	3075287	1978709	1291546	3793023	2129039	2209573	1292001	2131459	1292720	1295644	1292052	3742360	3541415
1000043	1780330	6386345	1292402	3731581	2334904	3006772	4268598	1292213	2146991	2268359	1291875	1291828	1866479	1294639	1292401	1291832	3649049	1295124	1292063	3319755	1292064	1291560	1308575	3072086	1862151	3626416	3792799	4023638	1292343	1293839	3233635	2149806	3068206	1292000	1292220	3734112	2213597	4873490	3005875	1292223	10574622	1849031	1292370	3075287	1291561	3793023	2129039	1292001	1295644	3541415
1000045	1291875	1291828	1866479	1308817	1293544	3158990	1294639	5344178	1292401	1291832	1291999	3649049	1295124	3319755	1292064	1291560	3395373	3072086	1862151	3792799	4023638	1292343	1293839	2149806	3205624	1482072	1291549	1292000	1292220	3734112	2213597	3313801	4873490	1783457	1292223	4305436	10574622	1849031	1292370	1978709	1292722	3793023	2129039	2209573	1292001	1292215	1929463	1292720	1652587	3742360
1000062	1293544	3158990	1294639	5344178	1292401	1291832	1291999	3649049	1295124	1292063	3319755	1291560	1308575	3395373	3072086	3626416	3792799	4023638	1292343	1307914	1293839	3233635	2149806	1482072	1291549	1292000	1292220	3734112	2213597	3313801	4873490	1783457	1292223	4305436	1485260	10574622	1849031	1292370	1978709	1291561	3793023	2129039	1292001	1292215	2131459	1292720	1652587	1292052	3742360	3541415
1000072	3737102	4271894	2132495	2998270	4237879	4739952	3072124	2135981	2161696	3274505	1298624	1780330	6386345	2124703	3731581	2334904	4268598	2268359	1866479	1308817	3158990	1294639	5344178	1292401	1291832	3649049	3319755	1292064	1291560	3395373	3072086	3792799	4023638	3233635	2149806	3205624	3068206	3734112	3313801	3005875	4305436	1485260	10574622	3075287	1978709	3793023	2129039	1292215	1652587	3541415
1000073	1300267	1777612	1981242	1309060	1291578	1292275	1305164	1291843	1291583	1293350	1306029	1308807	1316510	1292224	1292286	1298070	1299398	2053515	1291545	1291841	3072124	1292528	1794171	1298624	1780330	2334904	1291875	1291828	1293544	1294639	1291832	1295124	1292064	1291560	1308575	1293839	1482072	1291549	1292000	1292220	1292223	1485260	1292370	1292722	1291546	2129039	1292001	1292215	1292720	1292052
1000103	3041806	1292402	3731581	2334904	3006772	4268598	1292213	2146991	2268359	1866479	1308817	1293544	3158990	1294639	5344178	1291999	3649049	1295124	1292063	3319755	1292064	1291560	1308575	3395373	3626416	3792799	1307914	1293839	3233635	1482072	3068206	1292220	4873490	1783457	3005875	1292223	4305436	1485260	10574622	1849031	3075287	1292722	1291561	4920528	3793023	2129039	1292215	2131459	1929463	1292720
1000143	2053515	1760622	1301753	3737102	4271894	2998270	4739952	3072124	2161696	1418834	1794171	1780330	2124703	2334904	3006772	4268598	1292213	2146991	2268359	1291828	1308817	1293544	3158990	1292401	1291832	1292063	3319755	1292064	1291560	1308575	3792799	1292343	1307914	2149806	1482072	1291549	1292000	3734112	3313801	1783457	3005875	1485260	1849031	1292370	1978709	2129039	1292001	1292215	2131459	1292720
